Name,CAS no.,Mol. wt.,C1,C2,C3,C4,C5,"Tmin, K","Tmax, K"
"2,3-Dimethylbutane",79-29-8,86.175,129450,18.5,0.608,,,145.19,331.13
"1,1-Dimethylcyclohexane",590-66-9,112.213,134500,8.765,0.81151,,,239.66,392.7
"cis-1,2-Dimethylcyclohexane",112134,112.213,150130,-62.38,0.8851,,,223.16,402.94
"trans-1,2-Dimethylcyclohexane",6876-23-9,112.213,155560,-145.26,1.0932,,,184.99,396.58
Dimethyl disulfide,624-92-0,94.199,171580,-256.67,0.5727,,,188.44,360
Dimethyl ether,115-10-6,46.068,110100,-157.47,0.51853,,,131.65,250
"N,N-Dimethyl formamide",61699,73.094,147900,-106,0.384,,,273.82,466.44
"2,3-Dimethylpentane",565-59-3,100.202,146420,59.2,0.604,,,90,380
Dimethyl phthalate,131-11-3,194.184,206560,325.75,,,,274.16,360
Dimethylsilane,1111-74-6,60.17,131810,,,,,298.15,298.15
Dimethyl sulfide,75-18-3,62.134,146950,-380.06,1.2035,-0.00084787,,174.88,310.48
Dimethyl sulfoxide,67-68-5,78.133,240300,-595,1.013,,,291.67,422.15
Dimethyl terephthalate,120-61-6,194.184,190020,431.04,,,,423.4,466.35
"1,4-Dioxane",123-91-1,88.105,956860,-5559.9,9.6124,,,284.95,374.47
Diphenyl ether,101-84-8,170.207,134160,447.67,,,,300.03,570
Dipropyl amine,142-84-7,101.19,49120,562.24,,,,277.9,407.9
Dodecane,112-40-3,170.335,508210,-1368.7,3.1015,,,263.57,330
Ethanol,64-17-5,46.068,102640,-139.63,-0.030341,0.0020386,,159.05,390
Ethyl acetate,141-78-6,88.105,226230,-624.8,1.472,,,189.6,350.21
Ethyl amine,64016,45.084,121700,38.993,,,,192.15,289.73
Ethylbenzene,100-41-4,106.165,154040,-142.29,0.80539,,,178.2,409.35
Ethyl benzoate,93-89-0,150.175,124500,370.6,,,,238.45,486.55
2-Ethyl butanoic acid,68916,116.158,56359,603.02,,,,258.15,466.95
Ethyl butyrate,105-54-4,116.158,82434,422.45,0.20992,,,285.5,428.25
Ethylene,74-85-1,28.053,247390,-4428,40.936,-0.1697,0.00026816,104,252.7
Ethylenediamine,107-15-3,60.098,184440,-150.2,0.37044,,,284.29,390.41
Ethylene glycol,107-21-1,62.068,35540,436.78,-0.18486,,,260.15,493.15
Ethyl formate,109-94-4,74.079,80000,223.6,,,,254.2,374.2
2-Ethyl hexanoic acid,149-57-5,144.211,207670,-17.907,1.0493,,,235,510.1
Ethylhexyl ether,5756-43-4,130.228,146040,458.22,,,,298.15,417.15
Ethylisopropyl ether,625-54-7,88.148,106250,292.15,,,,298.15,326.15
Ethylisopropyl ketone,565-69-5,100.159,229250,-404.54,1.1382,,,204.15,386.55
Ethyl mercaptan,64132,62.134,134670,-234.39,0.59656,,,125.26,315.25
Fluorine,7782-41-4,37.997,1724400,-59924,537.85,,,53.48,56
Fluorobenzene,462-06-6,96.102,-991200,11734,-40.669,0.047333,,239.99,319.99
Fluoroethane,353-36-6,48.06,85663,-118.56,0.55459,,,140,240
Fluoromethane,593-53-3,34.033,74746,-132.32,0.53772,,,140,220
Formaldehyde,50-00-0,30.026,61900,28.3,,,,204,234
Formamide,64260,45.041,63400,150.6,,,,292,493
Formic acid,64-18-6,46.026,78060,71.54,,,,281.45,380
Helium-4,7440-59-7,4.003,410430,-464890,135100,,,1.8,2.1
Heptadecane,629-78-7,240.468,376970,347.82,0.57895,,,295.13,575.3
